,id,lambda_function_name,event_time,write_to_database_timestamp,function_end_timestamp,billed_duration_ms,cold_start
59,image_capture_2025-05-06_00-00-00.jpg,site1-lambdafunction,2025-05-06 06:01:06,2025-05-06 06:01:32.547,2025-05-06 06:01:34.990,26766.0,True
60,image_capture_2025-05-05_23-00-00.jpg,site1-lambdafunction,2025-05-06 05:00:54,2025-05-06 05:01:11.165,2025-05-06 05:01:11.333,15340.0,True
61,image_capture_2025-05-05_22-00-00.jpg,site1-lambdafunction,2025-05-06 04:00:42,2025-05-06 04:01:01.040,2025-05-06 04:01:01.100,17107.0,True
62,image_capture_2025-05-05_21-00-00.jpg,site1-lambdafunction,2025-05-06 03:00:32,2025-05-06 03:00:54.003,2025-05-06 03:00:56.291,23152.0,True
63,image_capture_2025-05-05_20-00-00.jpg,site1-lambdafunction,2025-05-06 02:00:20,2025-05-06 02:00:38.137,2025-05-06 02:00:38.195,16526.0,True
64,image_capture_2025-05-05_19-00-00.jpg,site1-lambdafunction,2025-05-06 01:00:10,2025-05-06 01:00:32.378,2025-05-06 01:00:32.431,20809.0,True
65,image_capture_2025-05-05_18-00-00.jpg,site1-lambdafunction,2025-05-06 00:00:11,2025-05-06 00:00:34.108,2025-05-06 00:00:34.193,21336.0,True
66,image_capture_2025-05-05_17-00-00.jpg,site1-lambdafunction,2025-05-05 23:00:01,2025-05-05 23:00:21.567,2025-05-05 23:00:21.658,18933.0,True
67,image_capture_2025-05-05_14-59-59.jpg,site1-lambdafunction,2025-05-05 21:01:06,2025-05-05 21:01:24.512,2025-05-05 21:01:25.228,17548.0,True
68,image_capture_2025-05-05_14-00-00.jpg,site1-lambdafunction,2025-05-05 20:00:59,2025-05-05 20:01:16.967,2025-05-05 20:01:18.002,17667.0,True
69,image_capture_2025-05-05_13-00-00.jpg,site1-lambdafunction,2025-05-05 19:00:45,2025-05-05 19:01:02.929,2025-05-05 19:01:03.793,17422.0,True
70,image_capture_2025-05-05_12-00-00.jpg,site1-lambdafunction,2025-05-05 18:00:30,2025-05-05 18:00:47.999,2025-05-05 18:00:48.056,16174.0,True
71,image_capture_2025-05-05_11-00-00.jpg,site1-lambdafunction,2025-05-05 17:00:20,2025-05-05 17:00:47.194,2025-05-05 17:00:47.251,25463.0,True
72,image_capture_2025-05-05_10-00-00.jpg,site1-lambdafunction,2025-05-05 16:00:17,2025-05-05 16:00:44.799,2025-05-05 16:00:44.854,25375.0,True
73,image_capture_2025-05-05_09-00-00.jpg,site1-lambdafunction,2025-05-05 15:00:03,2025-05-05 15:00:20.770,2025-05-05 15:00:20.875,16394.0,True
74,image_capture_2025-05-05_08-00-00.jpg,site1-lambdafunction,2025-05-05 14:00:00,2025-05-05 14:00:21.499,2025-05-05 14:00:21.577,18912.0,True
75,image_capture_2025-05-05_06-00-00.jpg,site1-lambdafunction,2025-05-05 12:01:06,2025-05-05 12:01:26.756,2025-05-05 12:01:26.804,18450.0,True
76,image_capture_2025-05-05_05-00-00.jpg,site1-lambdafunction,2025-05-05 11:00:51,2025-05-05 11:01:07.250,2025-05-05 11:01:07.396,14796.0,True
77,image_capture_2025-05-05_04-00-00.jpg,site1-lambdafunction,2025-05-05 10:00:42,2025-05-05 10:01:00.582,2025-05-05 10:01:00.649,16545.0,True
78,image_capture_2025-05-05_03-00-00.jpg,site1-lambdafunction,2025-05-05 09:00:32,2025-05-05 09:00:51.341,2025-05-05 09:00:51.422,17323.0,True
79,image_capture_2025-05-05_02-00-00.jpg,site1-lambdafunction,2025-05-05 08:00:21,2025-05-05 08:00:47.314,2025-05-05 08:00:47.376,25081.0,True
80,image_capture_2025-05-05_01-00-00.jpg,site1-lambdafunction,2025-05-05 07:00:18,2025-05-05 07:00:38.243,2025-05-05 07:00:38.292,18465.0,True
81,image_capture_2025-05-05_00-00-00.jpg,site1-lambdafunction,2025-05-05 06:00:03,2025-05-05 06:00:21.065,2025-05-05 06:00:21.128,16555.0,True
82,image_capture_2025-05-04_22-59-59.jpg,site1-lambdafunction,2025-05-05 05:00:00,2025-05-05 05:00:24.172,2025-05-05 05:00:24.263,22192.0,True
